Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR
1601942400,2020-10-06,ETHEUR,299.86,300.91,298.78,300.07,1204.86,361164.02
1601856000,2020-10-05,ETHEUR,300.86,303.64,297.12,299.86,16160.16,4839535.61
1601769600,2020-10-04,ETHEUR,296.07,302.59,294.3,300.86,10132.27,3024897.36
1601683200,2020-10-03,ETHEUR,295.41,300.18,293.87,296.07,13876.51,4125002.96
1601596800,2020-10-02,ETHEUR,300.85,302.48,285.42,295.41,32617.97,9539081.69
1601510400,2020-10-01,ETHEUR,306.62,315.32,294.72,300.85,51235.82,15568258.48
1601424000,2020-09-30,ETHEUR,306.67,308.11,300.44,306.62,15412.98,4683123.12
1601337600,2020-09-29,ETHEUR,303.38,307.26,300.07,306.67,22216.68,6752072.76
1601251200,2020-09-28,ETHEUR,307,315.93,301.85,303.38,35057.11,10858259.65
1601164800,2020-09-27,ETHEUR,304.41,311.2,298.67,307,19594.62,5972865.67
1601078400,2020-09-26,ETHEUR,302.44,306.53,298.04,304.41,13902.03,4213188.27
1600992000,2020-09-25,ETHEUR,299.01,308,290.31,302.44,26934.27,8036256.16
1600905600,2020-09-24,ETHEUR,274.97,302.21,272.12,299.01,46842.15,13658777.99
1600819200,2020-09-23,ETHEUR,294.26,295.08,269.01,274.97,49234.46,13978405.11
1600732800,2020-09-22,ETHEUR,289.49,296.87,287,294.26,32172.01,9386600.25
1600646400,2020-09-21,ETHEUR,313.82,317.87,283.01,289.49,77034.94,22882311.84
1600560000,2020-09-20,ETHEUR,325.63,325.63,309.26,313.82,25066.93,7931800.91
1600473600,2020-09-19,ETHEUR,325.12,328.09,319.58,325.63,14113.47,4573460.88
1600387200,2020-09-18,ETHEUR,329.22,331.22,316.49,325.12,29668.08,9595910.56
1600300800,2020-09-17,ETHEUR,309.36,332.95,308.27,329.22,50213.48,16268994.74
1600214400,2020-09-16,ETHEUR,308.12,316.19,300.71,309.36,30087.17,9292351.69
1600128000,2020-09-15,ETHEUR,318.04,322,306.25,308.12,40261.69,12583911.93
1600041600,2020-09-14,ETHEUR,309.88,323.49,301.1,318.04,42811.6,13449766.88
1599955200,2020-09-13,ETHEUR,327.99,329.68,299.37,309.88,52691.06,16446280.56
1599868800,2020-09-12,ETHEUR,316.53,328.12,309.27,327.99,36345.35,11606190.49
1599782400,2020-09-11,ETHEUR,311.84,317,301.47,316.53,34184.22,10594698.02
1599696000,2020-09-10,ETHEUR,297.99,318,297.69,311.84,67856.3,21129738
1599609600,2020-09-09,ETHEUR,286.89,304.63,281.47,297.99,55319.97,16403785.2
1599523200,2020-09-08,ETHEUR,299.15,302.37,277.46,286.89,70889.52,20416393.02
1599436800,2020-09-07,ETHEUR,298.55,303.3,273.22,299.15,89561.97,25869633.28
1599350400,2020-09-06,ETHEUR,283.35,304.76,268,298.55,75809.92,22192136.02
1599264000,2020-09-05,ETHEUR,326.76,333.87,262.35,283.35,172997.45,50212126.32
1599177600,2020-09-04,ETHEUR,323.49,339.45,305.33,326.76,120815.84,39439920.36
1599091200,2020-09-03,ETHEUR,372.3,380.83,315.11,323.49,156599.96,54263583.79
